Date,Luggage Weight [lbs],Fuel Efficiency [%],Min. Miles,Target Miles,Actual Miles,Challenging Miles,Carbon Footprint [g CO₂],5-Week Projected Route [miles],Projected Avg. Miles [miles/day],Actual Miles on Date [miles],Projected Deficit [miles],Cumulative Deficit [miles],Notes
09/08/2024,30.59,20.73,8.27,24.57,25.07,3.59,144.75,297.79,31.74,59.26,6.58,1.4,Flat terrain
09/09/2024,10.48,46.45,8.19,38.9,49.97,17.06,59.34,125.53,46.1,44.16,4.65,37.9,Flat terrain
09/10/2024,10.84,36.84,7.79,48.05,48.56,11.95,55.33,297.61,31.22,21.33,0.36,29.87,Rainy weather
09/11/2024,15.65,27.43,5.39,24.71,34.78,7.01,163.13,168.46,45.78,47.66,8.1,37.57,Smooth ride
09/12/2024,33.3,33.57,6.59,32.01,44.25,4.27,183.9,235.09,28.15,14.81,6.94,9.95,Smooth ride
09/13/2024,24.09,41.72,10.19,35.31,52.71,2.54,109.34,200.62,44.42,51.49,1.86,48.85,Rainy weather
09/14/2024,27.43,35.16,10.45,28.83,45.23,9.22,195.31,150.45,33.17,39.72,6.74,43.41,Hilly ride
09/15/2024,25.33,37.88,10.67,41.28,46.17,7.63,97.19,191.58,55.12,43.45,3.39,11.2,Heavy traffic
09/16/2024,37.11,46.52,5.31,49.35,18.88,4.43,157.64,225.28,61.22,18.98,8.37,26.5,Smooth ride
09/17/2024,41.19,42.56,12.43,32.5,52.6,4.41,110.17,284.99,72.46,25.02,1.51,5.78,Sunny day
09/18/2024,41.87,48.97,10.34,29.96,27.47,5.67,71.37,255.28,65.48,55.16,6.42,32.11,Smooth ride
09/19/2024,35.39,46.89,5.93,29.47,17.6,5,123.78,149.4,57.64,45.76,2.54,35.72,Rainy weather
09/20/2024,12.92,22.22,13.08,42.87,49.94,13.87,188.88,105.58,32.76,13.83,4.84,3.09,Hilly ride
09/21/2024,12.2,36.77,9.5,25.8,19.55,6.43,111.13,165.8,64.65,43,6.39,23.47,Rainy weather
09/22/2024,35.02,48.76,14.6,38.61,16.14,18.46,94.41,269.59,53.45,58.8,0.12,9.21,Heavy traffic
09/23/2024,27.55,32.87,6.53,21.55,28.68,0.74,122.13,116.29,47.29,34.64,5.49,35.31,Heavy traffic
09/24/2024,26.98,33.18,8.56,43.6,37.48,2.39,124.77,194.98,59,20.38,0.74,27.39,Heavy traffic
09/25/2024,32.67,32.28,10.92,23.38,40.75,7.11,136.61,133.06,57.86,49.06,7.82,28.87,Heavy traffic
09/26/2024,38.6,35.95,10.48,47.37,29.75,0.29,67.36,291.43,40.06,22.65,8.93,27.93,Heavy traffic
09/27/2024,13.62,47.8,11.23,42.56,35.27,0.97,167.87,129.11,55.96,34.27,4.61,1.4,Heavy traffic
09/28/2024,29.31,34.83,8.76,23.51,27.62,2.3,126.02,240.58,47.52,59.12,8.04,13.85,Smooth ride
09/29/2024,38.91,36.01,10.45,41.52,17.7,4.36,124.1,216.46,49.61,38.52,3.06,23.69,Hilly ride
09/30/2024,17.62,21.17,9.11,22.56,34.66,18.02,142.73,243.4,69.65,59.94,1.73,49.97,Heavy traffic
10/01/2024,12.84,28.13,6.08,46.22,40.18,6.85,83.62,111.47,65.65,24.97,0.02,42.19,Heavy traffic
10/02/2024,15.6,22.04,10.45,47.38,16.55,14.74,81.95,194.19,30.96,58.62,4.53,6.22,Flat terrain
10/03/2024,28.04,37.67,10.37,27.61,31.4,17.34,125.4,236.13,49.42,22.83,0.96,36.39,Sunny day
10/04/2024,30.31,48.52,14.91,23.69,50.77,16.6,91.23,265.37,48.72,37.58,7.94,22.12,Sunny day
10/05/2024,42.09,40.29,14.5,35.91,20.79,15.44,64.13,197.66,31.17,45.46,1.56,2.64,Sunny day
10/06/2024,32.17,31.95,12.78,41.52,45.48,16.49,183.25,155.72,43.53,39.34,1.43,44.83,Flat terrain
10/07/2024,35.21,41.79,5.07,38.27,39.66,11,109.73,220.67,56.74,19.26,0.6,23.81,Sunny day
10/08/2024,47.96,30.96,9,29.27,53.39,12.03,179.53,281.69,41.05,48.02,3.54,11.05,Flat terrain
10/09/2024,43.59,32.48,5.79,22.34,28.28,8.05,131.31,149.67,66.54,33.01,6.38,10.01,Flat terrain
10/10/2024,43.59,21.46,14.01,48.91,38.56,17.12,113.73,297.11,67.72,16.09,2.73,1.72,Heavy traffic
10/11/2024,15.24,36.01,9.77,34.91,21.44,14.18,180.12,263.89,70.12,42.2,0.75,2.58,Sunny day
10/12/2024,21.31,29.51,8.61,39.94,39.01,18.97,157.32,283.3,44,20.68,7.99,43.59,Hilly ride
10/13/2024,37.65,32.97,6.3,40.18,53.95,4.68,169.33,278.08,67.28,42.85,1.07,45.38,Smooth ride
10/14/2024,12.71,20.82,9.67,45.36,18.04,5.47,186.4,197.96,70.75,58.54,3.99,0.32,Sunny day
10/15/2024,33.4,45.97,7.71,49.76,31.73,13.27,98.45,189.48,73.49,51.51,7.43,32.17,Rainy weather
10/16/2024,13.1,49.23,13,33.68,35.76,14.38,105.49,240.22,52.82,46.46,4.55,30.3,Smooth ride
10/17/2024,12.25,30.43,11.23,37.32,25.12,7.23,139.65,243.64,57.27,39.54,2.19,24.25,Smooth ride
10/18/2024,46.85,48.36,6,44.86,51.37,19.92,61.85,235.71,67.26,37.38,8.73,21.79,Smooth ride
